cn,C3UserRole,unicodePwd,givenName,sn,dateOfBirth,mail,gender,telephoneNumber,studentID
student9999,10,1234,Student 9999,,,,,,
student10000,10,1234,Student 10000,,,,,,
student10001,10,1234,Student 10001,,,,,,
student10002,10,1234,Student 10002,,,,,,
student10003,10,1234,Student 10003,,,,,,
student10004,10,1234,Student 10004,,,,,,
student10005,10,1234,Student 10005,,,,,,
student10006,10,1234,Student 10006,,,,,,
student10007,10,1234,Student 10007,,,,,,
student10008,10,1234,Student 10008,,,,,,
student10009,10,1234,Student 10009,,,,,,
student10010,10,1234,Student 10010,,,,,,
student10011,10,1234,Student 10011,,,,,,
student10012,10,1234,Student 10012,,,,,,
student10013,10,1234,Student 10013,,,,,,
student10014,10,1234,Student 10014,,,,,,
student10015,10,1234,Student 10015,,,,,,
student10016,10,1234,Student 10016,,,,,,
student10017,10,1234,Student 10017,,,,,,
student10018,10,1234,Student 10018,,,,,,
student10019,10,1234,Student 10019,,,,,,
student10020,10,1234,Student 10020,,,,,,
student10021,10,1234,Student 10021,,,,,,
student10022,10,1234,Student 10022,,,,,,
student10023,10,1234,Student 10023,,,,,,
student10024,10,1234,Student 10024,,,,,,
student10025,10,1234,Student 10025,,,,,,
student10026,10,1234,Student 10026,,,,,,
student10027,10,1234,Student 10027,,,,,,
student10028,10,1234,Student 10028,,,,,,
student10029,10,1234,Student 10029,,,,,,
student10030,10,1234,Student 10030,,,,,,
student10031,10,1234,Student 10031,,,,,,
student10032,10,1234,Student 10032,,,,,,
student10033,10,1234,Student 10033,,,,,,
student10034,10,1234,Student 10034,,,,,,
student10035,10,1234,Student 10035,,,,,,
student10036,10,1234,Student 10036,,,,,,
student10037,10,1234,Student 10037,,,,,,
student10038,10,1234,Student 10038,,,,,,
student10039,10,1234,Student 10039,,,,,,
student10040,10,1234,Student 10040,,,,,,
student10041,10,1234,Student 10041,,,,,,
student10042,10,1234,Student 10042,,,,,,
student10043,10,1234,Student 10043,,,,,,
student10044,10,1234,Student 10044,,,,,,
student10045,10,1234,Student 10045,,,,,,
student10046,10,1234,Student 10046,,,,,,
student10047,10,1234,Student 10047,,,,,,
student10048,10,1234,Student 10048,,,,,,
student10049,10,1234,Student 10049,,,,,,
student10050,10,1234,Student 10050,,,,,,
student10051,10,1234,Student 10051,,,,,,
student10052,10,1234,Student 10052,,,,,,
student10053,10,1234,Student 10053,,,,,,
student10054,10,1234,Student 10054,,,,,,
student10055,10,1234,Student 10055,,,,,,
student10056,10,1234,Student 10056,,,,,,
student10057,10,1234,Student 10057,,,,,,
student10058,10,1234,Student 10058,,,,,,
student10059,10,1234,Student 10059,,,,,,
student10060,10,1234,Student 10060,,,,,,
student10061,10,1234,Student 10061,,,,,,
student10062,10,1234,Student 10062,,,,,,
student10063,10,1234,Student 10063,,,,,,
student10064,10,1234,Student 10064,,,,,,
student10065,10,1234,Student 10065,,,,,,
student10066,10,1234,Student 10066,,,,,,
student10067,10,1234,Student 10067,,,,,,
student10068,10,1234,Student 10068,,,,,,
student10069,10,1234,Student 10069,,,,,,
student10070,10,1234,Student 10070,,,,,,
student10071,10,1234,Student 10071,,,,,,
student10072,10,1234,Student 10072,,,,,,
student10073,10,1234,Student 10073,,,,,,
student10074,10,1234,Student 10074,,,,,,
student10075,10,1234,Student 10075,,,,,,
student10076,10,1234,Student 10076,,,,,,
student10077,10,1234,Student 10077,,,,,,
student10078,10,1234,Student 10078,,,,,,
student10079,10,1234,Student 10079,,,,,,
student10080,10,1234,Student 10080,,,,,,
student10081,10,1234,Student 10081,,,,,,
student10082,10,1234,Student 10082,,,,,,
student10083,10,1234,Student 10083,,,,,,
student10084,10,1234,Student 10084,,,,,,
student10085,10,1234,Student 10085,,,,,,
student10086,10,1234,Student 10086,,,,,,
student10087,10,1234,Student 10087,,,,,,
student10088,10,1234,Student 10088,,,,,,
student10089,10,1234,Student 10089,,,,,,
student10090,10,1234,Student 10090,,,,,,
student10091,10,1234,Student 10091,,,,,,
student10092,10,1234,Student 10092,,,,,,
student10093,10,1234,Student 10093,,,,,,
student10094,10,1234,Student 10094,,,,,,
student10095,10,1234,Student 10095,,,,,,
student10096,10,1234,Student 10096,,,,,,
student10097,10,1234,Student 10097,,,,,,
student10098,10,1234,Student 10098,,,,,,
student10099,10,1234,Student 10099,,,,,,
student10100,10,1234,Student 10100,,,,,,
student10101,10,1234,Student 10101,,,,,,
student10102,10,1234,Student 10102,,,,,,
student10103,10,1234,Student 10103,,,,,,
student10104,10,1234,Student 10104,,,,,,
student10105,10,1234,Student 10105,,,,,,
student10106,10,1234,Student 10106,,,,,,
student10107,10,1234,Student 10107,,,,,,
student10108,10,1234,Student 10108,,,,,,
student10109,10,1234,Student 10109,,,,,,
student10110,10,1234,Student 10110,,,,,,
student10111,10,1234,Student 10111,,,,,,
student10112,10,1234,Student 10112,,,,,,
student10113,10,1234,Student 10113,,,,,,
student10114,10,1234,Student 10114,,,,,,
student10115,10,1234,Student 10115,,,,,,
student10116,10,1234,Student 10116,,,,,,
student10117,10,1234,Student 10117,,,,,,
student10118,10,1234,Student 10118,,,,,,
student10119,10,1234,Student 10119,,,,,,
student10120,10,1234,Student 10120,,,,,,
student10121,10,1234,Student 10121,,,,,,
student10122,10,1234,Student 10122,,,,,,
student10123,10,1234,Student 10123,,,,,,
student10124,10,1234,Student 10124,,,,,,
student10125,10,1234,Student 10125,,,,,,
student10126,10,1234,Student 10126,,,,,,
student10127,10,1234,Student 10127,,,,,,
student10128,10,1234,Student 10128,,,,,,
student10129,10,1234,Student 10129,,,,,,
student10130,10,1234,Student 10130,,,,,,
student10131,10,1234,Student 10131,,,,,,
student10132,10,1234,Student 10132,,,,,,
student10133,10,1234,Student 10133,,,,,,
student10134,10,1234,Student 10134,,,,,,
student10135,10,1234,Student 10135,,,,,,
student10136,10,1234,Student 10136,,,,,,
student10137,10,1234,Student 10137,,,,,,
student10138,10,1234,Student 10138,,,,,,
student10139,10,1234,Student 10139,,,,,,
student10140,10,1234,Student 10140,,,,,,
student10141,10,1234,Student 10141,,,,,,
student10142,10,1234,Student 10142,,,,,,
student10143,10,1234,Student 10143,,,,,,
student10144,10,1234,Student 10144,,,,,,
student10145,10,1234,Student 10145,,,,,,
student10146,10,1234,Student 10146,,,,,,
student10147,10,1234,Student 10147,,,,,,
student10148,10,1234,Student 10148,,,,,,
student10149,10,1234,Student 10149,,,,,,
student10150,10,1234,Student 10150,,,,,,
student10151,10,1234,Student 10151,,,,,,
student10152,10,1234,Student 10152,,,,,,
student10153,10,1234,Student 10153,,,,,,
student10154,10,1234,Student 10154,,,,,,
student10155,10,1234,Student 10155,,,,,,
student10156,10,1234,Student 10156,,,,,,
student10157,10,1234,Student 10157,,,,,,
student10158,10,1234,Student 10158,,,,,,
student10159,10,1234,Student 10159,,,,,,
student10160,10,1234,Student 10160,,,,,,
student10161,10,1234,Student 10161,,,,,,
student10162,10,1234,Student 10162,,,,,,
student10163,10,1234,Student 10163,,,,,,
student10164,10,1234,Student 10164,,,,,,
student10165,10,1234,Student 10165,,,,,,
student10166,10,1234,Student 10166,,,,,,
student10167,10,1234,Student 10167,,,,,,
student10168,10,1234,Student 10168,,,,,,
student10169,10,1234,Student 10169,,,,,,
student10170,10,1234,Student 10170,,,,,,
student10171,10,1234,Student 10171,,,,,,
student10172,10,1234,Student 10172,,,,,,
student10173,10,1234,Student 10173,,,,,,
student10174,10,1234,Student 10174,,,,,,
student10175,10,1234,Student 10175,,,,,,
student10176,10,1234,Student 10176,,,,,,
student10177,10,1234,Student 10177,,,,,,
student10178,10,1234,Student 10178,,,,,,
student10179,10,1234,Student 10179,,,,,,
student10180,10,1234,Student 10180,,,,,,
student10181,10,1234,Student 10181,,,,,,
student10182,10,1234,Student 10182,,,,,,
student10183,10,1234,Student 10183,,,,,,
student10184,10,1234,Student 10184,,,,,,
student10185,10,1234,Student 10185,,,,,,
student10186,10,1234,Student 10186,,,,,,
student10187,10,1234,Student 10187,,,,,,
student10188,10,1234,Student 10188,,,,,,
student10189,10,1234,Student 10189,,,,,,
student10190,10,1234,Student 10190,,,,,,
student10191,10,1234,Student 10191,,,,,,
student10192,10,1234,Student 10192,,,,,,
student10193,10,1234,Student 10193,,,,,,
student10194,10,1234,Student 10194,,,,,,
student10195,10,1234,Student 10195,,,,,,
student10196,10,1234,Student 10196,,,,,,
student10197,10,1234,Student 10197,,,,,,
student10198,10,1234,Student 10198,,,,,,
student10199,10,1234,Student 10199,,,,,,
student10200,10,1234,Student 10200,,,,,,
student10201,10,1234,Student 10201,,,,,,
student10202,10,1234,Student 10202,,,,,,
student10203,10,1234,Student 10203,,,,,,
student10204,10,1234,Student 10204,,,,,,
student10205,10,1234,Student 10205,,,,,,
student10206,10,1234,Student 10206,,,,,,
student10207,10,1234,Student 10207,,,,,,
student10208,10,1234,Student 10208,,,,,,
