cn,C3UserRole,unicodePwd,givenName,sn,dateOfBirth,mail,gender,telephoneNumber,studentID
admin1,99,root,Administrator 1,,,,,,
student2,10,1234,Student 2,,,,,,
teacher22,20,1234,Anne,Smith,2001-10-22,user@user.com,f,901 234 533,1001
student3,10,1234,Student 3,,,,,,
student4,10,1234,Student 4,,,,,,
student5,10,1234,Student 5,,,,,,
student6,10,1234,Student 6,,,,,,
student7,10,1234,Student 7,,,,,,
student8,10,1234,Student 8,,,,,,
student9,10,1234,Student 9,,,,,,
student10,10,1234,Student 10,,,,,,
student11,10,1234,Student 11,,,,,,
student12,10,1234,Student 12,,,,,,
student13,10,1234,Student 13,,,,,,
student14,10,1234,Student 14,,,,,,
student15,10,1234,Student 15,,,,,,
student16,10,1234,Student 16,,,,,,
student17,10,1234,Student 17,,,,,,
student18,10,1234,Student 18,,,,,,
student19,10,1234,Student 19,,,,,,
student20,10,1234,Student 20,,,,,,
student21,10,1234,Student 21,,,,,,
student22,10,1234,Student 22,,,,,,
student23,10,1234,Student 23,,,,,,
student24,10,1234,Student 24,,,,,,
student25,10,1234,Student 25,,,,,,
student26,10,1234,Student 26,,,,,,
student27,10,1234,Student 27,,,,,,
student28,10,1234,Student 28,,,,,,
student29,10,1234,Student 29,,,,,,
student30,10,1234,Student 30,,,,,,
student31,10,1234,Student 31,,,,,,
student32,10,1234,Student 32,,,,,,
student33,10,1234,Student 33,,,,,,
student34,10,1234,Student 34,,,,,,
student35,10,1234,Student 35,,,,,,
student36,10,1234,Student 36,,,,,,
student37,10,1234,Student 37,,,,,,
student38,10,1234,Student 38,,,,,,
student39,10,1234,Student 39,,,,,,
student40,10,1234,Student 40,,,,,,
student41,10,1234,Student 41,,,,,,
student42,10,1234,Student 42,,,,,,
student43,10,1234,Student 43,,,,,,
student44,10,1234,Student 44,,,,,,
student45,10,1234,Student 45,,,,,,
student46,10,1234,Student 46,,,,,,
student47,10,1234,Student 47,,,,,,
student48,10,1234,Student 48,,,,,,
student49,10,1234,Student 49,,,,,,
student50,10,1234,Student 50,,,,,,
student51,10,1234,Student 51,,,,,,
student52,10,1234,Student 52,,,,,,
student53,10,1234,Student 53,,,,,,
student54,10,1234,Student 54,,,,,,
student55,10,1234,Student 55,,,,,,
student56,10,1234,Student 56,,,,,,
student57,10,1234,Student 57,,,,,,
student58,10,1234,Student 58,,,,,,
student59,10,1234,Student 59,,,,,,
student60,10,1234,Student 60,,,,,,
student61,10,1234,Student 61,,,,,,
student62,10,1234,Student 62,,,,,,
student63,10,1234,Student 63,,,,,,
student64,10,1234,Student 64,,,,,,
student65,10,1234,Student 65,,,,,,
student66,10,1234,Student 66,,,,,,
student67,10,1234,Student 67,,,,,,
student68,10,1234,Student 68,,,,,,
student69,10,1234,Student 69,,,,,,
student70,10,1234,Student 70,,,,,,
student71,10,1234,Student 71,,,,,,
student72,10,1234,Student 72,,,,,,
student73,10,1234,Student 73,,,,,,
student74,10,1234,Student 74,,,,,,
student75,10,1234,Student 75,,,,,,
student76,10,1234,Student 76,,,,,,
student77,10,1234,Student 77,,,,,,
student78,10,1234,Student 78,,,,,,
student79,10,1234,Student 79,,,,,,
student80,10,1234,Student 80,,,,,,
student81,10,1234,Student 81,,,,,,
student82,10,1234,Student 82,,,,,,
student83,10,1234,Student 83,,,,,,
student84,10,1234,Student 84,,,,,,
student85,10,1234,Student 85,,,,,,
student86,10,1234,Student 86,,,,,,
student87,10,1234,Student 87,,,,,,
student88,10,1234,Student 88,,,,,,
student89,10,1234,Student 89,,,,,,
student90,10,1234,Student 90,,,,,,
student91,10,1234,Student 91,,,,,,
student92,10,1234,Student 92,,,,,,
student93,10,1234,Student 93,,,,,,
student94,10,1234,Student 94,,,,,,
student95,10,1234,Student 95,,,,,,
student96,10,1234,Student 96,,,,,,
student97,10,1234,Student 97,,,,,,
student98,10,1234,Student 98,,,,,,
student99,10,1234,Student 99,,,,,,
student100,10,1234,Student 100,,,,,,
student101,10,1234,Student 101,,,,,,
student102,10,1234,Student 102,,,,,,
student103,10,1234,Student 103,,,,,,
student104,10,1234,Student 104,,,,,,
student105,10,1234,Student 105,,,,,,
student106,10,1234,Student 106,,,,,,
student107,10,1234,Student 107,,,,,,
student108,10,1234,Student 108,,,,,,
student109,10,1234,Student 109,,,,,,
student110,10,1234,Student 110,,,,,,
student111,10,1234,Student 111,,,,,,
student112,10,1234,Student 112,,,,,,
student113,10,1234,Student 113,,,,,,
student114,10,1234,Student 114,,,,,,
student115,10,1234,Student 115,,,,,,
student116,10,1234,Student 116,,,,,,
student117,10,1234,Student 117,,,,,,
student118,10,1234,Student 118,,,,,,
student119,10,1234,Student 119,,,,,,
student120,10,1234,Student 120,,,,,,
student121,10,1234,Student 121,,,,,,
student122,10,1234,Student 122,,,,,,
student123,10,1234,Student 123,,,,,,
student124,10,1234,Student 124,,,,,,
student125,10,1234,Student 125,,,,,,
student126,10,1234,Student 126,,,,,,
student127,10,1234,Student 127,,,,,,
student128,10,1234,Student 128,,,,,,
student129,10,1234,Student 129,,,,,,
student130,10,1234,Student 130,,,,,,
student131,10,1234,Student 131,,,,,,
student132,10,1234,Student 132,,,,,,
student133,10,1234,Student 133,,,,,,
student134,10,1234,Student 134,,,,,,
student135,10,1234,Student 135,,,,,,
student136,10,1234,Student 136,,,,,,
student137,10,1234,Student 137,,,,,,
student138,10,1234,Student 138,,,,,,
student139,10,1234,Student 139,,,,,,
student140,10,1234,Student 140,,,,,,
student141,10,1234,Student 141,,,,,,
student142,10,1234,Student 142,,,,,,
student143,10,1234,Student 143,,,,,,
student144,10,1234,Student 144,,,,,,
student145,10,1234,Student 145,,,,,,
student146,10,1234,Student 146,,,,,,
student147,10,1234,Student 147,,,,,,
student148,10,1234,Student 148,,,,,,
student149,10,1234,Student 149,,,,,,
student150,10,1234,Student 150,,,,,,
student151,10,1234,Student 151,,,,,,
student152,10,1234,Student 152,,,,,,
student153,10,1234,Student 153,,,,,,
student154,10,1234,Student 154,,,,,,
student155,10,1234,Student 155,,,,,,
student156,10,1234,Student 156,,,,,,
student157,10,1234,Student 157,,,,,,
student158,10,1234,Student 158,,,,,,
student159,10,1234,Student 159,,,,,,
student160,10,1234,Student 160,,,,,,
student161,10,1234,Student 161,,,,,,
student162,10,1234,Student 162,,,,,,
student163,10,1234,Student 163,,,,,,
student164,10,1234,Student 164,,,,,,
student165,10,1234,Student 165,,,,,,
student166,10,1234,Student 166,,,,,,
student167,10,1234,Student 167,,,,,,
student168,10,1234,Student 168,,,,,,
student169,10,1234,Student 169,,,,,,
student170,10,1234,Student 170,,,,,,
student171,10,1234,Student 171,,,,,,
